page_id,piece_id,composer,key_numeric,time_signature_ratio,average_pitch,pitch_range,note_density
bach_bwv17.7_page0,bach_bwv17.7,bach,6.5,0.75,70.1875,9.0,0.7272727272727273
bach_bwv17.7_page1,bach_bwv17.7,bach,6.5,1.0,69.5,7.0,0.7619047619047619
bach_bwv17.7_page2,bach_bwv17.7,bach,9.0,1.0,70.5,10.0,0.7619047619047619
bach_bwv17.7_page3,bach_bwv17.7,bach,9.0,1.0,71.21428571428571,10.0,0.6666666666666666
bach_bwv248.42-4_page0,bach_bwv248.42-4,bach,5.0,0.75,70.76,12.0,1.0416666666666667
bach_bwv248.42-4_page1,bach_bwv248.42-4,bach,5.0,1.0,66.28571428571429,20.0,1.1666666666666667
bach_bwv248.42-4_page2,bach_bwv248.42-4,bach,5.0,1.0,70.6923076923077,12.0,1.0833333333333333
bach_bwv248.42-4_page3,bach_bwv248.42-4,bach,5.0,1.0,66.28571428571429,20.0,1.1666666666666667
bach_bwv276_page0,bach_bwv276,bach,2.5,1.0,66.75,14.0,1.103448275862069
bach_bwv276_page1,bach_bwv276,bach,2.5,1.0,65.875,14.0,1.0
bach_bwv276_page2,bach_bwv276,bach,2.5,1.0,66.57142857142857,10.0,0.9655172413793104
bach_bwv276_page3,bach_bwv276,bach,2.5,1.0,64.70833333333333,9.0,0.8571428571428571
bach_bwv29.8_page0,bach_bwv29.8,bach,2.0,0.75,77.84615384615384,7.0,0.5909090909090909
bach_bwv29.8_page1,bach_bwv29.8,bach,11.0,1.0,78.0,0.0,0.047619047619047616
bach_bwv29.8_page2,bach_bwv29.8,bach,0.0,1.0,0.0,0.0,0.0
bach_bwv29.8_page3,bach_bwv29.8,bach,0.0,1.0,0.0,0.0,0.0
bach_bwv320_page0,bach_bwv320,bach,5.0,0.75,71.78947368421052,12.0,0.7916666666666666
bach_bwv320_page1,bach_bwv320,bach,5.0,1.0,70.375,12.0,0.6666666666666666
bach_bwv320_page2,bach_bwv320,bach,2.0,1.0,68.27777777777777,14.0,0.75
bach_bwv320_page3,bach_bwv320,bach,5.0,1.0,72.36363636363636,10.0,0.9166666666666666
bach_bwv328_page0,bach_bwv328,bach,9.5,1.0,69.71428571428571,8.0,0.84
bach_bwv328_page1,bach_bwv328,bach,7.0,1.0,69.52173913043478,10.0,0.9583333333333334
bach_bwv328_page2,bach_bwv328,bach,9.5,1.0,69.625,5.0,1.0
bach_bwv328_page3,bach_bwv328,bach,2.5,1.0,66.55172413793103,12.0,1.0357142857142858
mozart_movement1_page0,mozart_movement1,mozart,7.0,0.375,76.08333333333333,14.0,1.0
mozart_movement1_page1,mozart_movement1,mozart,7.0,1.0,69.78947368421052,28.0,3.1666666666666665
mozart_movement1_page2,mozart_movement1,mozart,11.5,1.0,76.375,10.0,1.3333333333333333
mozart_movement1_page3,mozart_movement1,mozart,2.0,1.0,77.03571428571429,8.0,2.3333333333333335
mozart_movement2_page0,mozart_movement2,mozart,4.5,1.0,74.23684210526316,22.0,2.375
mozart_movement2_page1,mozart_movement2,mozart,0.0,1.0,72.26666666666667,22.0,1.875
mozart_movement2_page2,mozart_movement2,mozart,4.5,1.0,73.89830508474576,26.0,1.84375
mozart_movement2_page3,mozart_movement2,mozart,4.5,1.0,74.17283950617283,26.0,2.53125
mozart_movement3_page0,mozart_movement3,mozart,7.0,0.75,69.94594594594595,28.0,1.5416666666666667
mozart_movement3_page1,mozart_movement3,mozart,2.0,1.0,78.20588235294117,13.0,1.4166666666666667
mozart_movement3_page2,mozart_movement3,mozart,2.0,1.0,67.375,24.0,1.0
mozart_movement3_page3,mozart_movement3,mozart,7.0,1.0,68.88888888888889,22.0,1.5
beethoven_opus132_page0,beethoven_opus132,beethoven,9.5,1.0,76.38461538461539,21.0,0.40625
beethoven_opus132_page1,beethoven_opus132,beethoven,9.5,1.0,69.14035087719299,21.0,1.78125
beethoven_opus132_page2,beethoven_opus132,beethoven,2.5,1.0,69.6086956521739,28.0,1.4375
beethoven_opus132_page3,beethoven_opus132,beethoven,3.0,1.0,69.26923076923077,24.0,0.8125
beethoven_opus133_page0,beethoven_opus133,beethoven,0.0,0.75,70.0,24.0,0.4583333333333333
beethoven_opus133_page1,beethoven_opus133,beethoven,0.0,1.0,71.57142857142857,26.0,0.875
beethoven_opus133_page2,beethoven_opus133,beethoven,1.0,0.5,66.57142857142857,19.0,0.875
beethoven_opus133_page3,beethoven_opus133,beethoven,3.0,1.0,68.9,23.0,1.3333333333333333
beethoven_movement1_page0,beethoven_movement1,beethoven,2.5,0.75,69.07407407407408,19.0,1.125
